round_epochs,acc,loss,val_acc,val_loss,epochs,Second_Neron,First_Neron,batch_size
100,0.4421487642713815,8.991499443684727,0.5081967174029741,7.92693214729184,100,8,8,12
50,0.5578512450880255,7.048905743055107,0.4918032796656499,8.101868052951627,50,10,10,12
50,0.6198347122216028,0.6700380636640817,0.606557377537743,0.6893254528280164,50,10,6,10
50,0.7768595016692296,0.502947967530282,0.7868852459016393,0.5134373336541848,50,8,10,12
150,0.44214876033057854,8.991499498855969,0.5081967232657261,7.92693214729184,150,6,10,8
150,0.5578512534622319,7.048905813004359,0.49180328088705655,8.101867927879585,150,8,8,10
100,0.5578512534622319,7.04890583960478,0.49180328088705655,8.101867927879585,100,6,6,10
50,0.5578512396694215,7.048905790344743,0.49180327917708727,8.101867894657323,50,6,10,8
100,0.55785125099923,7.048905859308794,0.49180328088705655,8.101867927879585,100,10,10,10
100,0.8388429752066116,0.3691892264303097,0.8688524590163934,0.3720997740499309,100,10,10,8
100,0.4421487712293617,8.991499471270348,0.50819672033435,7.9269323270829,100,8,10,10
150,0.8512396644954839,0.36819958705301126,0.8852459035935949,0.35417036858738443,150,6,6,10
150,0.7520661186580816,0.5225852432329793,0.7704918071871898,0.4929061336595504,150,6,6,12
100,0.7809917350445897,0.49919489962010344,0.7704917974159365,0.5644473335782035,100,6,8,10
50,0.4421487652565822,8.991499435803123,0.5081967174029741,7.92693214729184,50,6,10,12
150,0.44214876033057854,8.991499498855969,0.5081967232657261,7.92693214729184,150,10,6,8
150,0.8305785089484916,0.4116216245268987,0.8524590105306907,0.38820351586967217,150,6,8,10
100,0.44214876476398185,8.991499428747963,0.5081967174029741,7.92693214729184,100,8,10,12
150,0.8388429752066116,0.38113991743769526,0.8524590163934426,0.374963924533031,150,6,8,12
100,0.4421487641482314,8.99149945944794,0.5081967174029741,7.92693214729184,100,6,6,12
50,0.44214877239928757,8.991499392454289,0.50819672033435,7.9269323270829,50,6,6,10
100,0.8388429752066116,0.39992318690315753,0.8524590163934426,0.3804995461565549,100,6,8,8
150,0.5578512396694215,7.048905676061457,0.49180327917708727,8.101867894657323,150,10,8,8
