round_epochs,acc,loss,val_acc,val_loss,epochs,Second_Neron,First_Neron,batch_size
50,0.44214876033057854,8.991499498855969,0.5081967232657261,7.92693214729184,50,8,10,8
150,0.5578512513071052,7.048905849456787,0.49180328088705655,8.101867927879585,150,8,10,10
100,0.5578512445954252,7.048905740099505,0.4918032796656499,8.101868052951627,100,6,8,12
100,0.5578512512455301,7.048905849456787,0.49180328088705655,8.101867927879585,100,10,6,10
150,0.8305785123966942,0.3878469871095389,0.8688524590163934,0.37794890193665615,150,10,10,8
50,0.5578512396694215,7.048905750936713,0.49180327917708727,8.101867894657323,50,10,10,8
150,0.8471074330905253,0.3774232843444367,0.8688524551078921,0.35545899389220065,150,10,10,12
50,0.5578512396694215,7.048905766699925,0.49180327917708727,8.101867894657323,50,6,8,8
50,0.5578512436102244,7.0489057548775165,0.4918032796656499,8.101868052951627,50,8,8,12
100,0.5578512445954252,7.048905728277096,0.4918032796656499,8.101868052951627,100,10,8,12
100,0.7479338845438208,0.519834736531431,0.7377049278040402,0.5054781046070036,100,8,8,10
150,0.756198345629637,0.5014782624303802,0.7704918110956911,0.5151537607927792,150,8,6,12
100,0.8429752066115702,0.38134990127618645,0.8524590163934426,0.3633667677640915,100,6,6,8
150,0.8099173553719008,0.4524575248360634,0.7868852459016393,0.45979871222230256,150,6,6,8
50,0.71900826446281,0.5774407948344207,0.6885245921181851,0.6291752467389966,50,6,6,8
150,0.4421487717219621,8.991499451566334,0.50819672033435,7.9269323270829,150,10,8,10
100,0.8347107457720544,0.40915994358456825,0.8360655776789931,0.3652808280264745,100,10,10,12
100,0.44214876464083175,8.991499455004115,0.5081967174029741,7.92693214729184,100,6,10,12
100,0.5578512450880255,7.048905743055107,0.4918032796656499,8.101868052951627,100,8,6,12
50,0.557851249767729,7.0489058691608015,0.49180328088705655,8.101867927879585,50,6,8,10
150,0.8636363665919659,0.363772853192958,0.8852458938223416,0.35917192013537297,150,10,6,12
150,0.8099173519236982,0.3975853218027383,0.8196721174677865,0.42031798841523343,150,10,10,10
100,0.8347107438016529,0.44052916544312537,0.8688524590163934,0.3495968254130395,100,8,8,8
150,0.5578512475510274,7.048905775566731,0.4918032796656499,8.101868052951627,150,8,10,12
150,0.8512396694214877,0.3664551442565997,0.8688524590163934,0.34973750959654326,150,8,6,8
150,0.818181816704017,0.40701887916681195,0.8360655639992386,0.3864682492662649,150,10,6,10
50,0.4421487655028824,8.99149944762553,0.5081967174029741,7.92693214729184,50,8,6,12
50,0.44214876033057854,8.991499498855969,0.5081967232657261,7.92693214729184,50,10,6,8
100,0.8512396694214877,0.3583814081820575,0.8688524590163934,0.3671074038157698,100,8,10,8
50,0.7933884260575633,0.46644817686770573,0.7868852341761354,0.4587584059746539,50,8,6,10
150,0.7024793417985774,0.6102143159089994,0.7213114773640867,0.6013098564304289,150,8,6,10
50,0.44214877092148647,8.991499479978401,0.50819672033435,7.9269323270829,50,10,8,10
50,0.7396694214876033,0.5691881024640454,0.7540983626099883,0.5960975377286066,50,8,8,8
50,0.4421487712293617,8.991499471270348,0.50819672033435,7.9269323270829,50,8,10,10
100,0.7520661157024794,0.5062056029261637,0.7213114773640867,0.5126845255249837,100,10,6,8
150,0.8553719008264463,0.3690276958725669,0.8688524590163934,0.3621082529425621,150,6,8,8
150,0.5578512455806259,7.0489057824631365,0.4918032796656499,8.101868052951627,150,8,8,12
150,0.44214876033057854,8.991499498855969,0.5081967232657261,7.92693214729184,150,8,8,8
150,0.8347107413386511,0.3801439452516146,0.8524590105306907,0.38847107599016095,150,6,10,10
50,0.4421487652565822,8.991499412158303,0.5081967174029741,7.92693214729184,50,6,8,12
150,0.8181818201522196,0.4436376434712371,0.8196721389645436,0.43888121550200415,150,10,8,12
100,0.5578512396694215,7.048905744040308,0.49180327917708727,8.101867894657323,100,10,8,8
100,0.44214877116778667,8.991499471270348,0.50819672033435,7.9269323270829,100,6,10,10
150,0.5578512396694215,7.048905735173501,0.49180327917708727,8.101867894657323,150,8,10,8
50,0.44214876180837964,8.99149945944794,0.5081967174029741,7.92693214729184,50,10,6,12
100,0.44214877092148647,8.991499471270348,0.50819672033435,7.9269323270829,100,8,6,10
50,0.6900826446280992,0.5971151122376939,0.6721311494952342,0.6090501937709871,50,8,6,8
50,0.5578512475510274,7.048905772611129,0.4918032796656499,8.101868052951627,50,6,6,12
50,0.557851252230731,7.048905877042408,0.49180328088705655,8.101867927879585,50,6,10,10
100,0.557851252230731,7.048905862264396,0.49180328088705655,8.101867927879585,100,10,8,10
50,0.7644628099173554,0.49542962224030296,0.7868852459016393,0.4612922282492528,50,10,8,8
100,0.44214876033057854,8.991499498855969,0.5081967232657261,7.92693214729184,100,6,10,8
50,0.7148760325652509,0.5844466183796402,0.7213114715013348,0.5924402162676952,50,8,8,10
50,0.557851252230731,7.048905901672426,0.49180328088705655,8.101867927879585,50,10,10,10
100,0.8512396694214877,0.37149499073501463,0.8524590163934426,0.3649038419616027,100,8,6,8
150,0.5578512438565246,7.048905743055107,0.4918032796656499,8.101868052951627,150,6,10,12
100,0.4421487652565822,8.991499446481576,0.5081967174029741,7.92693214729184,100,10,6,12
50,0.4421487640250813,8.991499428747963,0.5081967174029741,7.92693214729184,50,10,8,12
