round_epochs,acc,loss,val_acc,val_loss,activation,First_Neron,batch_size,epochs,Third_Neron,Second_Neron
100,0.8140495803730547,0.50148647555635,0.7704918071871898,0.5057542192154243,<function sigmoid at 0x12742c6e0>,6,10,100,6,10
50,0.7396694200098022,0.5268127154712835,0.7704918071871898,0.5172165153456516,<function tanh at 0x12742c668>,10,12,50,8,8
50,0.7148760330578512,0.564397442439371,0.7540983626099883,0.525919035809939,<function relu at 0x12742c5f0>,10,8,50,8,8
150,0.7975206611570248,0.43491754896384627,0.8360655737704918,0.41540766983735755,<function selu at 0x12742c488>,10,8,150,6,8
100,0.8140495818508559,0.44572628591178864,0.8360655776789931,0.45442169220721135,<function selu at 0x12742c488>,6,10,100,10,10
